data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 25.8 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 27.5028 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 29.31798 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 31.25297 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 33.31567 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 35.5145 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 37.85846 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 40.35712 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 43.02069 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 45.86005 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 48.88682 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 52.11335 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 55.55283 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 59.21931 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 63.12779 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 67.29422 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 71.73564 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 76.47019 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 81.51723 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 86.89736 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 92.63259 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 98.74634 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 105.2636 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 112.211 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 119.61692 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 127.51164 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 135.92741 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 144.89861 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 154.46192 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 164.65641 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 175.52373 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 187.1083 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 199.45745 100 80 120
100 100-99-98-97-96-95-93-94-92-91-90-88-85-89 200 200 96 212.62164 100 80 120
