data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 30.6 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 32.6196 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 34.77249 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 37.06748 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 39.51393 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 42.12185 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 44.90189 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 47.86542 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 51.02454 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 54.39216 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 57.98204 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 61.80885 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 65.88824 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 70.23686 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 74.87249 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 79.81408 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 85.08181 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 90.69721 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 96.68322 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 103.06431 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 109.86656 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 117.11775 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 124.84752 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 133.08746 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 141.87123 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 151.23473 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 161.21623 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 171.8565 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 183.19902 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 195.29016 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 208.17931 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 221.91915 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 236.56581 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 252.17915 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 268.82298 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 286.56529 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 305.4786 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 325.64019 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 347.13244 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 370.04318 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 394.46603 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 420.50079 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 448.25384 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 477.8386 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 509.37595 100 80 120
100 100-99-98-97-95-96-94-93-92-89-91-90-83-85-86-82-88-67 200 200 96 542.99476 100 80 120
