data_dim axes n_training window_size n_sim threshold arl_est arl_lower arl_upper
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 29.4 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 31.3404 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 33.40887 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 35.61385 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 37.96437 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 40.47001 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 43.14103 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 45.98834 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 49.02357 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 52.25913 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 55.70823 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 59.38498 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 63.30438 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 67.48247 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 71.93632 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 76.68411 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 81.74526 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 87.14045 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 92.89172 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 99.02258 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 105.55807 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 112.5249 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 119.95154 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 127.86834 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 136.30765 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 145.30396 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 154.89402 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 165.11703 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 176.01475 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 187.63172 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 200.01542 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 213.21643 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 227.28872 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 242.28977 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 258.2809 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 275.32744 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 293.49905 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 312.86999 100 80 120
100 100-99-97-98-96-95-92-93-94-91-89-90-86-87-88-84-85 200 200 96 333.51941 100 80 120
